model_name,scats_number,datetime,actual_flow,predicted_flow
XGBoost,970,2006-10-27 12:00:00,906,864.21
XGBoost,970,2006-10-27 12:15:00,882,903.58
XGBoost,970,2006-10-27 12:30:00,855,890.5
XGBoost,970,2006-10-27 12:45:00,830,843.73
XGBoost,970,2006-10-27 13:00:00,945,863.97
XGBoost,970,2006-10-27 13:15:00,875,919.44
XGBoost,970,2006-10-27 13:30:00,861,918.92
XGBoost,970,2006-10-27 13:45:00,899,858.29
XGBoost,970,2006-10-27 14:00:00,983,912.14
XGBoost,970,2006-10-27 14:15:00,929,932.86
XGBoost,970,2006-10-27 14:30:00,937,927.12
XGBoost,970,2006-10-27 14:45:00,968,933.14
XGBoost,970,2006-10-27 15:00:00,1047,996.97
XGBoost,970,2006-10-27 15:15:00,1078,1070.22
XGBoost,970,2006-10-27 15:30:00,1111,1078.5
XGBoost,970,2006-10-27 15:45:00,1135,1182.87
XGBoost,970,2006-10-27 16:00:00,1146,1182.13
XGBoost,970,2006-10-27 16:15:00,1223,1182.38
XGBoost,970,2006-10-27 16:30:00,1271,1251.55
XGBoost,970,2006-10-27 16:45:00,1225,1207.07
XGBoost,970,2006-10-27 17:00:00,1233,1277.34
XGBoost,970,2006-10-27 17:15:00,1275,1295.69
XGBoost,970,2006-10-27 17:30:00,1324,1288.5
XGBoost,970,2006-10-27 17:45:00,1229,1288.5
XGBoost,970,2006-10-27 18:00:00,1305,1269.6
XGBoost,970,2006-10-27 18:15:00,1154,1255.35
XGBoost,970,2006-10-27 18:30:00,1057,1045.05
XGBoost,970,2006-10-27 18:45:00,999,986.69
XGBoost,970,2006-10-27 19:00:00,901,915.87
XGBoost,970,2006-10-27 19:15:00,827,843.34
XGBoost,970,2006-10-27 19:30:00,744,749.82
XGBoost,970,2006-10-27 19:45:00,653,665.61
XGBoost,970,2006-10-27 20:00:00,585,603.25
XGBoost,970,2006-10-27 20:15:00,532,549.62
XGBoost,970,2006-10-27 20:30:00,507,510.88
XGBoost,970,2006-10-27 20:45:00,469,475.07
XGBoost,970,2006-10-27 21:00:00,563,521.71
XGBoost,970,2006-10-27 21:15:00,530,545.34
XGBoost,970,2006-10-27 21:30:00,464,532.4
XGBoost,970,2006-10-27 21:45:00,369,460.77
XGBoost,970,2006-10-27 22:00:00,386,391.68
XGBoost,970,2006-10-27 22:15:00,312,377.48
XGBoost,970,2006-10-27 22:30:00,332,336.36
XGBoost,970,2006-10-27 22:45:00,345,309.85
XGBoost,970,2006-10-27 23:00:00,370,318.92
XGBoost,970,2006-10-27 23:15:00,277,323.49
XGBoost,970,2006-10-27 23:30:00,295,266.9
XGBoost,970,2006-10-27 23:45:00,237,254.02
XGBoost,970,2006-10-28 00:00:00,227,222.52
XGBoost,970,2006-10-28 00:15:00,215,192.76
XGBoost,970,2006-10-28 00:30:00,157,184.57
XGBoost,970,2006-10-28 00:45:00,158,153.06
XGBoost,970,2006-10-28 01:00:00,118,136.98
XGBoost,970,2006-10-28 01:15:00,93,107.84
XGBoost,970,2006-10-28 01:30:00,91,85.81
XGBoost,970,2006-10-28 01:45:00,74,80.67
XGBoost,970,2006-10-28 02:00:00,77,70.84
XGBoost,970,2006-10-28 02:15:00,65,69.1
XGBoost,970,2006-10-28 02:30:00,62,61.34
XGBoost,970,2006-10-28 02:45:00,60,56.35
XGBoost,970,2006-10-28 03:00:00,39,52.08
XGBoost,970,2006-10-28 03:15:00,53,41.92
XGBoost,970,2006-10-28 03:30:00,36,46.82
XGBoost,970,2006-10-28 03:45:00,42,38.09
XGBoost,970,2006-10-28 04:00:00,43,41.51
XGBoost,970,2006-10-28 04:15:00,48,41.47
XGBoost,970,2006-10-28 04:30:00,51,44.0
XGBoost,970,2006-10-28 04:45:00,40,48.47
XGBoost,970,2006-10-28 05:00:00,45,54.71
XGBoost,970,2006-10-28 05:15:00,60,60.61
XGBoost,970,2006-10-28 05:30:00,93,74.66
XGBoost,970,2006-10-28 05:45:00,124,107.81
XGBoost,970,2006-10-28 06:00:00,97,150.16
XGBoost,970,2006-10-28 06:15:00,164,137.59
XGBoost,970,2006-10-28 06:30:00,217,207.09
XGBoost,970,2006-10-28 06:45:00,237,262.35
XGBoost,970,2006-10-28 07:00:00,233,269.52
XGBoost,970,2006-10-28 07:15:00,264,276.72
XGBoost,970,2006-10-28 07:30:00,351,320.55
XGBoost,970,2006-10-28 07:45:00,447,392.78
XGBoost,970,2006-10-28 08:00:00,508,513.84
XGBoost,970,2006-10-28 08:15:00,562,562.48
XGBoost,970,2006-10-28 08:30:00,728,621.42
XGBoost,970,2006-10-28 08:45:00,743,768.59
XGBoost,970,2006-10-28 09:00:00,703,789.46
XGBoost,970,2006-10-28 09:15:00,840,767.73
XGBoost,970,2006-10-28 09:30:00,857,803.63
XGBoost,970,2006-10-28 09:45:00,864,857.3
XGBoost,970,2006-10-28 10:00:00,914,847.8
XGBoost,970,2006-10-28 10:15:00,961,883.83
XGBoost,970,2006-10-28 10:30:00,943,933.41
XGBoost,970,2006-10-28 10:45:00,1021,948.61
XGBoost,970,2006-10-28 11:00:00,1065,983.93
XGBoost,970,2006-10-28 11:15:00,1037,1030.15
XGBoost,970,2006-10-28 11:30:00,1090,1042.29
XGBoost,970,2006-10-28 11:45:00,1149,1048.39
XGBoost,970,2006-10-28 12:00:00,1130,1119.57
XGBoost,970,2006-10-28 12:15:00,1121,1124.7
XGBoost,970,2006-10-28 12:30:00,1079,1128.11
XGBoost,970,2006-10-28 12:45:00,1154,1061.81
XGBoost,970,2006-10-28 13:00:00,1066,1104.52
XGBoost,970,2006-10-28 13:15:00,1095,1036.52
XGBoost,970,2006-10-28 13:30:00,1085,1094.42
XGBoost,970,2006-10-28 13:45:00,1138,1039.91
XGBoost,970,2006-10-28 14:00:00,1010,1078.08
XGBoost,970,2006-10-28 14:15:00,1079,1007.45
XGBoost,970,2006-10-28 14:30:00,1010,1026.31
XGBoost,970,2006-10-28 14:45:00,1026,1009.44
XGBoost,970,2006-10-28 15:00:00,998,1012.4
XGBoost,970,2006-10-28 15:15:00,979,1010.13
XGBoost,970,2006-10-28 15:30:00,955,974.58
XGBoost,970,2006-10-28 15:45:00,1080,957.6
XGBoost,970,2006-10-28 16:00:00,1022,1016.07
XGBoost,970,2006-10-28 16:15:00,984,995.3
XGBoost,970,2006-10-28 16:30:00,947,981.28
XGBoost,970,2006-10-28 16:45:00,957,963.92
XGBoost,970,2006-10-28 17:00:00,997,964.16
XGBoost,970,2006-10-28 17:15:00,1018,1005.08
XGBoost,970,2006-10-28 17:30:00,1003,1012.03
XGBoost,970,2006-10-28 17:45:00,967,1008.95
XGBoost,970,2006-10-28 18:00:00,861,933.78
XGBoost,970,2006-10-28 18:15:00,881,847.3
XGBoost,970,2006-10-28 18:30:00,820,821.82
XGBoost,970,2006-10-28 18:45:00,775,814.82
XGBoost,970,2006-10-28 19:00:00,748,717.19
XGBoost,970,2006-10-28 19:15:00,685,671.79
XGBoost,970,2006-10-28 19:30:00,622,613.51
XGBoost,970,2006-10-28 19:45:00,370,560.58
XGBoost,970,2006-10-28 20:00:00,515,423.84
XGBoost,970,2006-10-28 20:15:00,481,419.05
XGBoost,970,2006-10-28 20:30:00,396,419.16
XGBoost,970,2006-10-28 20:45:00,345,365.24
XGBoost,970,2006-10-28 21:00:00,353,381.38
XGBoost,970,2006-10-28 21:15:00,347,355.97
XGBoost,970,2006-10-28 21:30:00,363,354.85
XGBoost,970,2006-10-28 21:45:00,337,348.97
XGBoost,970,2006-10-28 22:00:00,372,353.69
XGBoost,970,2006-10-28 22:15:00,335,343.19
XGBoost,970,2006-10-28 22:30:00,365,341.32
XGBoost,970,2006-10-28 22:45:00,310,344.49
XGBoost,970,2006-10-28 23:00:00,354,337.84
XGBoost,970,2006-10-28 23:15:00,347,322.69
XGBoost,970,2006-10-28 23:30:00,358,338.29
XGBoost,970,2006-10-28 23:45:00,311,328.36
XGBoost,970,2006-10-29 00:00:00,324,292.74
XGBoost,970,2006-10-29 00:15:00,299,292.1
XGBoost,970,2006-10-29 00:30:00,273,272.16
XGBoost,970,2006-10-29 00:45:00,213,246.32
XGBoost,970,2006-10-29 01:00:00,150,198.26
XGBoost,970,2006-10-29 01:15:00,139,153.2
XGBoost,970,2006-10-29 01:30:00,114,125.74
XGBoost,970,2006-10-29 01:45:00,0,106.37
XGBoost,970,2006-10-29 02:00:00,0,53.27
XGBoost,970,2006-10-29 02:15:00,0,31.38
XGBoost,970,2006-10-29 02:30:00,0,23.15
XGBoost,970,2006-10-29 02:45:00,102,18.36
XGBoost,970,2006-10-29 03:00:00,99,78.4
XGBoost,970,2006-10-29 03:15:00,108,94.24
XGBoost,970,2006-10-29 03:30:00,109,97.19
XGBoost,970,2006-10-29 03:45:00,89,132.99
XGBoost,970,2006-10-29 04:00:00,73,118.91
XGBoost,970,2006-10-29 04:15:00,81,91.8
XGBoost,970,2006-10-29 04:30:00,66,92.18
XGBoost,970,2006-10-29 04:45:00,56,64.91
XGBoost,970,2006-10-29 05:00:00,74,63.63
XGBoost,970,2006-10-29 05:15:00,62,74.33
XGBoost,970,2006-10-29 05:30:00,64,75.66
XGBoost,970,2006-10-29 05:45:00,59,75.67
XGBoost,970,2006-10-29 06:00:00,81,71.83
XGBoost,970,2006-10-29 06:15:00,105,87.4
XGBoost,970,2006-10-29 06:30:00,131,115.97
XGBoost,970,2006-10-29 06:45:00,144,153.71
XGBoost,970,2006-10-29 07:00:00,134,157.91
XGBoost,970,2006-10-29 07:15:00,147,157.93
XGBoost,970,2006-10-29 07:30:00,196,171.48
XGBoost,970,2006-10-29 07:45:00,196,220.0
XGBoost,970,2006-10-29 08:00:00,191,245.69
XGBoost,970,2006-10-29 08:15:00,241,238.48
XGBoost,970,2006-10-29 08:30:00,289,277.98
XGBoost,970,2006-10-29 08:45:00,322,332.93
XGBoost,970,2006-10-29 09:00:00,348,366.88
