model_name,scats_number,hour_datetime,actual_flow_hourly,predicted_flow_hourly
XGBoost,970,2006-10-27 12:00:00,3473,3502.02
XGBoost,970,2006-10-27 13:00:00,3580,3560.6199
XGBoost,970,2006-10-27 14:00:00,3817,3705.26
XGBoost,970,2006-10-27 15:00:00,4371,4328.56
XGBoost,970,2006-10-27 16:00:00,4865,4823.13
XGBoost,970,2006-10-27 17:00:00,5061,5150.03
XGBoost,970,2006-10-27 18:00:00,4515,4556.69
XGBoost,970,2006-10-27 19:00:00,3125,3174.6401
XGBoost,970,2006-10-27 20:00:00,2093,2138.82
XGBoost,970,2006-10-27 21:00:00,1926,2060.22
XGBoost,970,2006-10-27 22:00:00,1375,1415.37
XGBoost,970,2006-10-27 23:00:00,1179,1163.33
XGBoost,970,2006-10-28 00:00:00,757,752.91003
XGBoost,970,2006-10-28 01:00:00,376,411.3
XGBoost,970,2006-10-28 02:00:00,264,257.63
XGBoost,970,2006-10-28 03:00:00,170,178.91
XGBoost,970,2006-10-28 04:00:00,182,175.45
XGBoost,970,2006-10-28 05:00:00,322,297.79
XGBoost,970,2006-10-28 06:00:00,715,757.19
XGBoost,970,2006-10-28 07:00:00,1295,1259.57
XGBoost,970,2006-10-28 08:00:00,2541,2466.33
XGBoost,970,2006-10-28 09:00:00,3264,3218.12
XGBoost,970,2006-10-28 10:00:00,3839,3613.65
XGBoost,970,2006-10-28 11:00:00,4341,4104.76
XGBoost,970,2006-10-28 12:00:00,4484,4434.19
XGBoost,970,2006-10-28 13:00:00,4384,4275.37
XGBoost,970,2006-10-28 14:00:00,4125,4121.2803
XGBoost,970,2006-10-28 15:00:00,4012,3954.71
XGBoost,970,2006-10-28 16:00:00,3910,3956.57
XGBoost,970,2006-10-28 17:00:00,3985,3990.22
XGBoost,970,2006-10-28 18:00:00,3337,3417.72
XGBoost,970,2006-10-28 19:00:00,2425,2563.07
XGBoost,970,2006-10-28 20:00:00,1737,1627.29
XGBoost,970,2006-10-28 21:00:00,1400,1441.17
XGBoost,970,2006-10-28 22:00:00,1382,1382.69
XGBoost,970,2006-10-28 23:00:00,1370,1327.1799
XGBoost,970,2006-10-29 00:00:00,1109,1103.3201
XGBoost,970,2006-10-29 01:00:00,403,583.57
